Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Total
1901,42.61863996,14.3546079,4.154413104,0,0.140008926,23.68903089,127.8422763,186.1519104,6.014560699,0,0,3.105190039,408.0706382
1902,0,0,1.56520164,9.031395674,7.475480556,62.29799682,174.2413171,189.5171381,62.15471631,3.861902013,0,0,510.1451482
1903,16.14415979,0,0.887415826,0,2.435693435,2.801384151,96.60691281,116.9082046,20.84289614,8.091752768,0,0,264.7184195
1904,3.252248049,0.471933544,57.68030024,0,30.911919,10.5354506,110.0255951,132.3766785,178.3182723,0,10.93071461,20.28529382,554.7884058
1905,44.46420395,15.78717688,14.09863128,8.051871181,11.24459112,18.72982794,77.04428875,39.87196696,99.51612473,0,0,0.364023179,329.172706
1906,0.821884573,55.70877448,25.36590016,0.901328862,4.654994607,199.1511227,181.0365705,99.71438861,246.7676803,0,0,16.11713791,830.2397827
1907,23.81082916,49.51529816,19.23108789,47.81079698,9.057277679,0.191915691,68.861377,141.1216705,0,0,0,0,359.6002531
1908,23.89858872,5.80994606,0,0.180265784,13.65584256,8.662911057,250.8331543,479.005227,3.187575161,0,0.781151712,1.405436158,787.4200985
1909,15.3090291,2.869801402,0,101.83278,4.876945019,120.1602322,215.5406221,61.88086189,104.8045507,1.445617795,0,41.72113729,670.4415775
1910,20.4784894,2.896202564,0,1.196985513,4.461685807,14.10565421,153.9081123,157.2549413,145.9986997,115.5271649,0,0,615.8279357
1911,61.28453562,0,40.09250131,0,0,69.0797691,54.7317287,21.10470025,304.0129079,39.94178009,20.39038172,0,610.6383047
1912,34.62774207,22.55299558,13.55717409,7.59143734,4.92726469,20.68536472,195.1381249,232.1833764,227.5156816,0,1.380721629,0,760.1598831
1913,0,44.32249546,15.77171713,0,62.19064194,164.9625685,155.2014853,59.18292034,4.854381919,0,2.755599976,10.98786986,520.2296805
1914,0,2.027671039,12.2093519,32.64658976,27.90705466,39.75059216,358.8610083,133.6050176,197.8595915,18.49324937,6.364294052,0,829.7244203
1915,29.32028564,67.65640392,48.67184019,20.24325991,0.343673229,28.89327621,148.0234594,79.2604402,94.51637718,4.029074967,0,3.340268135,524.298359
1916,0,30.66373178,0,5.739618719,9.559545159,113.4815194,209.5656207,269.7523283,140.8716532,49.78701162,0,0,829.4210289
1917,20.02909076,12.57523009,6.227758765,40.62109477,82.40641108,64.14333275,160.3967707,169.1527416,363.0024497,67.56871355,0,0.18737115,986.3109649
1918,10.01638341,0,9.141166925,11.30844593,9.133465767,51.24534565,13.30866836,94.8091016,14.17026091,0,0,0,213.1328385
1919,116.6761769,5.65737927,13.92209911,0.320750713,8.124442846,4.553380489,177.8562452,204.718506,90.9903385,0,3.176049232,24.6298604,650.6252287
1920,14.95041943,9.919013441,28.64135087,0,29.17190342,121.5646324,270.7602835,16.12161228,0.309569716,1.288082123,0,0,492.7268672
1921,38.08499059,0,0,0.889955424,0,17.11641565,123.7931588,310.5064947,119.5372147,26.60472941,0,1.48409462,638.0170538
1922,22.83689523,14.53978433,0,0,0,71.33849764,180.3273042,165.3574386,324.1638099,3.064518213,0,38.59259468,820.2208427
1923,4.567209274,51.08335066,0,0,26.50509977,4.666214764,224.1112455,325.4972126,73.58676219,12.37574482,0,44.73654526,767.1293848
1924,67.57681513,28.14773738,2.143833578,0,7.787416719,28.41475141,116.6755728,153.462577,321.8770761,41.39076614,9.596515179,13.94573164,791.0187931
1925,3.809080184,0,0,0,11.51349947,124.553706,337.840737,103.517545,11.38684162,1.26735273,11.06583977,0,604.9546018
1926,11.79503877,1.516259223,66.0673556,17.34674942,18.73993105,2.896566577,335.916041,239.3210941,61.69339386,2.109260798,0.332781971,0.234732106,757.9692045
1927,0,31.89368403,22.94339186,8.769806862,10.52349815,11.58941418,190.0045429,308.1250811,66.49022889,33.49602553,0,13.37375546,697.2094289
1928,30.95060641,50.9534267,5.373240948,15.70516866,4.490374088,29.70827341,74.71213931,15.99850143,13.63527381,35.65600109,10.24325356,25.86977926,313.2960387
1929,5.631726578,0.281217873,0,15.02996543,1.505696654,50.92418849,172.5996034,91.089286,38.98137754,0.720242321,0,16.72591829,393.4892225
1930,49.31576467,25.9557116,0.175761178,2.171017841,4.80195193,53.82902908,272.2555112,133.6589942,21.91413879,6.626006693,0.562435746,4.046698093,575.313021
1931,0.748759449,35.94641057,11.23676515,0.415977448,4.735653549,3.231054842,184.6959269,93.6934572,174.9033386,88.55687693,0,0,598.1642206
1932,0,0.748759449,18.1272043,4.518672228,10.14157486,10.26933484,111.3429216,105.7010928,144.699055,0,0,4.496965885,410.0455809
1933,7.897432804,16.24518935,2.08644104,20.98985394,39.42175508,439.6163952,204.3421733,234.3429524,286.8741069,71.02288818,0,1.081541419,1323.92073
1934,26.24836436,0.623966157,54.72481248,0,0.175761178,100.4674601,225.567364,360.3606662,44.16768968,0,0,28.28697944,840.6230636
1935,38.96785554,27.11944678,4.759019613,15.33319533,0.281217873,19.25818449,141.4873052,132.0140495,240.9935751,5.520935535,0.623966157,20.24562356,646.6043746
1936,3.052327871,18.42253798,10.31074479,5.282913685,0.272782415,214.7977544,208.8669716,181.8736834,145.9262886,0.249586478,1.097032905,40.80655824,830.9591823
1937,0,63.0675282,0.456979036,26.45791692,5.072744668,37.26709459,133.8779624,64.72656702,162.5327303,1.360501528,0,9.821466684,504.6414913
1938,51.47803685,0.415977448,0,2.952787638,5.84583357,68.39867206,133.4966993,54.50275797,9.901974946,3.183037646,0,0,330.1757775
1939,0,35.41549778,5.644869268,0,0.808501363,122.2786601,81.36175556,59.47844137,147.5178542,0,0,0,452.5055797
1940,39.43505153,38.65138556,5.02395612,0.554772004,1.00257051,17.75897503,172.5318958,302.8505979,6.163881838,0,0,1.33653003,585.3096164
1941,75.61604536,15.54180622,1.202813104,0,9.92055428,91.77809063,19.16640939,116.6287433,43.44036365,0.192552283,0,2.400757611,375.8881358
1942,5.375248313,44.52848929,0,2.997094035,12.7041226,28.19042218,398.114162,156.3167425,138.6530771,0,0,6.07748121,792.9568392
1943,9.086543337,0,1.329123206,9.697295353,4.925490379,61.05028749,212.0624412,141.2997785,123.3880646,0,0,0,562.839024
1944,33.64962751,31.2449379,47.42277105,48.11921096,0,40.80883807,372.8198161,101.4457877,64.7090849,65.85367286,0,0,806.0737471
1945,37.3542968,0,0,3.998147726,11.6311799,13.86306752,135.2690753,178.4721034,293.7968222,15.26577592,0,0,689.6504688
1946,0,20.91119951,0,3.715364903,22.06060195,100.1256876,249.5767506,130.5269306,43.58339047,2.49580875,0,1.593218803,574.5889533
1947,3.885825396,6.216298997,8.184725359,0,9.996889651,1.11317277,96.37717274,123.8354397,230.462389,5.549157023,0,3.364678144,488.9857488
1948,53.57136017,34.4439234,21.08230218,1.160023808,7.559832215,1.054566979,205.1564334,371.1682792,92.42448759,21.0253253,0,4.658947468,813.3054817
1949,0.54077065,40.12980172,6.846664906,0.123019516,12.05485952,18.7892817,490.138146,91.57510624,121.4672892,1.101827025,0,0,782.7667665
1950,12.22365555,2.244008422,18.9263168,0,6.021337509,34.97980314,371.9835662,233.3757496,194.5429339,0,0,0,874.2973711
1951,15.72355065,0,55.70403868,18.44796687,0.69984673,44.82544595,164.1827722,140.4841698,105.3201275,0.861757398,48.35862827,0,594.608304
1952,12.85322084,26.1071685,46.67639013,6.564342767,19.97325456,50.99393645,99.45197076,332.5584728,0,0,0,1.549962223,596.728719
1953,51.94756332,0.344388187,0,8.636470556,0.511774361,31.64749022,204.6128176,138.7821366,30.03699774,1.746798396,0,0,468.266437
1954,35.73934674,122.9688402,33.77483368,0,2.946599305,21.04697534,227.0918236,41.1949352,52.83231282,228.8768797,0,0,766.4725466
1955,26.29695344,1.592961192,10.68425274,5.441992223,4.241750538,76.7470898,182.1343316,176.6949159,237.1464572,111.1456006,0,0,832.1263052
1956,27.0892269,0.831954896,5.667114943,0.740656197,1.684356928,25.17363365,251.3588635,156.0837866,23.00360155,329.0046823,0,0.185164049,820.8230415
1957,78.69554508,0,64.43122542,1.729737297,0,31.27959514,271.9525303,115.1221504,329.2746778,29.43926573,1.885073185,22.65015364,946.4599539
1958,4.281375408,0,7.818994761,14.20204991,1.993930817,30.26611233,284.0216256,332.2384177,330.1370662,21.90286341,0.465376198,1.444279641,1028.772092
1959,38.83451016,2.192217089,0.481426507,0,13.95222706,30.66859823,67.37204941,163.0376636,76.58056578,1.288527369,10.02464676,0,404.4324319
1960,13.90736151,0,37.23861384,2.725238681,0.185164049,36.06184603,345.424563,258.505927,13.37443805,89.73379326,0,0,797.1569454
1961,22.73869336,33.57497191,0,8.598104179,15.72911853,75.7260437,227.3534034,421.277095,79.86618358,53.43106508,0,5.315808922,943.6104876
1962,20.29650455,4.246637464,7.484930634,6.181106508,18.77712221,47.88032007,285.5233426,226.4259571,143.1793011,0.666590512,0.796635866,13.64685488,775.1053035
1963,5.323771477,3.890871882,2.871800303,0.893719576,6.794534743,83.55714101,41.21522349,372.2162386,316.0877697,0,6.733311504,22.63070202,862.2150843
1964,0.842178464,0.152202338,0,1.703509212,21.17243147,0.779765055,483.6514057,350.0153372,296.7853707,0,0,20.32273978,1175.42494
1965,11.53443123,7.480682492,0.579684734,9.706895888,3.705400109,1.229363926,136.7209903,342.3885893,105.9779912,1.974091083,0,0,621.2981202
1966,6.155754089,18.42983127,0.12447878,1.680463433,53.82212925,201.4236919,111.5897611,363.9123816,74.84657598,7.671232224,1.556206524,0.226645157,841.4391514
1967,0,0.12447878,35.03049719,0,0,12.95580634,234.2265574,563.622842,182.5807868,5.879161939,10.58776611,63.83142412,1108.839321
1968,18.29591928,8.547796577,13.48658812,0,2.815079749,28.80876388,285.0459285,180.7132679,3.598299146,5.797373295,0,0,547.1090164
1969,1.360583842,0.937172472,12.57935202,0.169113725,6.062258691,10.14338291,264.2791981,156.5122737,217.3333274,0,0,0,669.3766629
1970,49.59951568,49.79847598,21.78974104,0,12.06875134,85.45617403,70.11421992,249.3436498,130.1815317,4.669410437,0,0,673.0214698
1971,12.05505598,15.41048473,0,0.39983201,32.93336628,45.42314288,108.5285738,305.3902533,138.1466103,6.64981705,0,0,664.9371363
1972,8.58247292,19.21485817,0,6.543350935,0,11.08438873,264.6025323,293.8256813,35.44022465,10.65310454,31.45861053,0.481619149,681.8868432
1973,12.31120992,6.926980734,1.512117684,0,20.10596627,22.27310503,190.0405727,294.84731,51.68509671,45.5193243,0,2.812607408,648.0342908
1974,0,0,0,0,6.086338207,13.10287875,360.8055789,94.50637183,4.85212788,30.51516846,0,4.225634217,514.0940983
1975,15.65959334,5.66528821,12.58359852,0.110943675,1.22669448,125.2887951,279.1527044,283.2635819,335.1670005,47.50086546,0,0,1105.619066
1976,0,14.43290839,5.859613299,7.550935626,33.58419108,61.47912711,304.8571867,239.3771672,19.91711196,0,0,0.507341146,687.5655825
1977,16.59130719,2.167296886,0.186025098,27.28991973,29.13976002,87.78194463,395.6453882,84.80676264,129.3354219,13.26462078,0,8.290389538,794.4988366
1978,0,24.37153643,22.58136643,14.15484793,0,100.7262316,194.2230685,442.703386,197.0207548,3.975451827,0,0,999.7566435
1979,24.32652363,22.31366774,28.60956046,5.483553886,10.53118217,72.95813973,134.2536444,48.76627994,31.61157937,19.85036469,0,4.210377038,402.9148731
1980,1.032786608,5.799958244,34.91006234,0,13.73390102,80.39824429,202.2658289,123.7456433,74.46691199,8.856074557,0.103650503,8.310836434,553.6238982
1981,44.13900751,12.53450093,9.139730468,0,19.47850043,38.56328869,239.169357,79.56901152,78.26388288,0,27.29954505,0,548.1568245
1982,7.858867079,7.800342888,59.19144213,29.9402788,85.4528316,71.55220002,128.979586,282.6452298,6.56725359,5.472498894,0.683467567,5.113045692,691.257044
1983,51.87409186,11.22289915,3.348093003,125.3268727,37.00467023,35.01067415,319.4557645,378.2136774,146.6076693,14.56660086,0,1.0216344,1123.652648
1984,1.13182684,1.169939935,0,1.938162982,9.27528286,23.50252333,179.4529417,318.778794,194.2272077,0,0,0,729.4766793
1985,0,0,0,6.389766499,8.655122876,54.40419763,323.2465646,163.495973,102.1276534,85.30035305,0,8.194417,751.814048
1986,15.32926755,12.94304591,8.970968485,0,16.39667182,52.59508294,20.15573534,87.60056932,92.92173469,1.095157504,0,3.39284122,311.4010748
1987,22.74717218,25.67956558,8.124053717,2.135998935,79.35305309,10.6714509,25.31580091,207.7205342,15.84919822,5.488419175,0,0.350371838,403.4356188
1988,0,17.68295299,33.98328888,0.108885497,0,126.9510233,379.8833355,532.0174763,97.88312122,0,0,0.232458338,1188.742542
1989,34.75573164,0,30.30665073,0,0,1.299100637,79.80266654,72.96658315,318.3986297,0.981359899,4.437812805,15.43781161,558.3863467
1990,0,95.83623698,1.045697182,1.277956411,41.53799877,5.700447679,155.1612893,298.7986883,281.4789856,3.609274387,33.0170188,7.021279812,924.4848732
1991,0,20.29397443,5.066211775,2.9738819,5.632656574,16.36587569,117.4021617,392.7557768,150.1079711,0,15.6137507,30.99345696,757.2057176
1992,19.71393609,8.036326617,0,0,0,2.106706381,170.968671,228.7393164,118.6836246,11.4522132,38.38709742,0,598.0878916
1993,10.0522677,10.84247476,1.768965706,6.14597559,9.492802031,109.9183227,362.4355093,87.79480311,111.9923835,0,0,0,710.4435045
1994,23.66090798,1.776723385,0.282499343,11.81107783,6.435631111,27.7133224,522.6599811,151.5582968,24.14753394,0,0,0,770.0459739
1995,39.08006763,21.10136718,21.95015995,0.352056414,0,33.92868376,61.54752421,498.1857555,194.4185846,0,0,0.270329058,870.8345283
1996,12.42570847,47.14104378,0.196458116,0,1.135773465,110.7055065,119.4881393,372.4539764,124.0990216,1.510271788,0,0,789.1558995
1997,1.420301422,1.024107426,4.9860515,28.48148298,40.56061402,95.76357764,172.190366,109.1499912,40.68526402,24.49914242,14.58776271,49.9047612,583.2534226
1998,0,13.98266853,14.35417676,3.225226045,0.540259838,62.05032575,157.5055541,295.1947204,110.5956233,31.77517238,1.982999146,0,691.2067262
1999,32.98071086,0.190318793,0,0,1.184887886,59.71174696,113.0634172,126.9533649,90.49655199,7.799693599,0,0,432.3806922
2000,4.766031489,23.69326925,0.319244415,0.552538425,23.06656888,78.65610436,199.6086456,237.7430307,4.826661736,0,0.141204268,0.257851273,573.6311504
2001,5.528851271,4.80372867,4.622212917,17.79134005,41.86405012,119.1808368,189.5161911,171.7108216,15.793367,0.934689194,0,0,571.7460887
2002,20.46088162,19.53042318,0.294687182,0,71.80799192,75.74441507,9.170422271,148.4547255,202.5863959,0.196458116,0,12.52063933,560.7670401
2003,20.87920475,72.34263709,3.332164466,0,11.70626089,30.62815718,493.6496613,305.2207058,147.1862871,0,0,23.26504372,1108.210122
2004,25.80900383,0,0,40.76392794,34.61965209,35.42432225,19.70900702,354.8932724,20.2951889,94.89654446,0,0,626.4109189
2005,2.192031384,27.39178622,7.801899314,0,6.970601797,38.53139091,206.9224305,48.10835266,166.9627589,0,0,0,504.8812516
2006,0,0,19.73419368,0,11.1143939,21.78508212,175.2673942,40.43095824,109.2719176,2.876398623,4.961238384,0,385.4415767
2007,0,37.54581171,35.49968767,0,2.924590766,43.68561217,108.0625334,69.93338381,8.388174355,0,0,0,306.0397939
2008,0.262698203,0,0,3.355789199,15.97561659,8.255386814,53.06953257,83.99366489,20.60920537,0,2.085493803,0,187.6073874
2009,1.401108027,1.320618749,2.43081557,2.186663628,22.44387913,6.735478111,72.30572286,84.00854875,106.3733534,5.451799035,3.486589789,0.819530845,308.9641079
2010,4.300514698,16.26856339,0,0.138826579,3.394193143,0.241435319,58.02450842,264.634341,195.2419554,10.39954662,1.274489582,3.785376787,557.703751
2011,0,32.38989034,0.724080324,3.489625424,40.01789355,70.43313801,187.0793469,172.4193156,82.11943245,0,0,0.920214653,589.5929373
2012,13.52769993,0,5.176049709,19.56526154,0.501142502,0.137574196,107.7887314,167.6286786,133.0071511,3.318442345,0.280629218,3.090310335,454.021671
2013,24.27368653,69.52439082,8.615704536,1.055519797,0,80.60691592,171.0532574,246.7954289,49.6939392,16.03339311,0,2.836301565,670.4885378
2014,8.169656515,45.3252769,70.06409408,5.08571782,24.97452304,24.98923682,135.105317,37.99984536,37.93730928,0.598487973,0,9.647847891,399.8973126
2015,21.86071467,0.28619796,99.7250509,27.05115515,10.65326929,50.11572808,210.2302323,187.8747895,12.95118484,1.742601156,0.205693573,0,622.6966174
2016,0,0,14.03977928,0,36.83692622,29.15524662,202.5024201,144.3952995,55.91445732,26.53939629,0,0,509.3835253
2017,12.75702441,0,3.158526421,2.446038485,14.55521432,79.22327712,110.4516943,34.04650511,178.8074349,0,0.611509621,5.426962376,441.4841871
2018,1.913516998,0,0,5.269651592,1.994018584,54.54761219,147.5666528,43.00289878,124.6851801,0,5.229130507,0,384.2086616
2019,31.71053863,28.43254164,8.720610619,1.561058939,29.96766239,3.799140215,106.892349,110.4726771,43.25145686,2.845560074,0.989231527,49.2256006,417.8684276
2020,28.07296526,0.256811142,76.71730885,9.598773956,36.14909559,69.28674355,129.0007429,159.655537,16.07649612,0,2.032210112,0.598758876,527.4454434
2021,19.43786764,0.781125069,6.340240598,1.153003305,73.60011795,20.57167818,116.7843212,165.6052358,219.1572728,50.98850805,0,1.699462652,676.1188333
